intron	logef	DMSO	CORIN	deltapsi
chr1:146136455:146138236:clu_100_-	-0.00846094280307248	0.368886764883888	0.280282845791107	-0.0886039190927811
chr1:146136455:146144595:clu_100_-	-0.560865371651301	0.14708719060612	0.0643238606488837	-0.0827633299572358
chr1:146142752:146144595:clu_100_-	0.569326314454374	0.484026044509993	0.655393293560009	0.171367249050017
chr1:146140020:146140484:clu_101_-	0.0545202613826292	0.449977825012423	0.439722548772907	-0.0102552762395166
chr1:146140020:146141604:clu_101_-	-0.183082084081704	0.0657148292399004	0.0506362599377788	-0.0150785693021216
chr1:146140556:146141604:clu_101_-	0.128561822699074	0.484307345747676	0.509641191289315	0.0253338455416383
chr1:146147747:146156480:clu_102_-	-0.0641312461065271	0.194681295385633	0.175355541020768	-0.0193257543648658
chr1:146156229:146156480:clu_102_-	0.0641312461065272	0.805318704614367	0.824644458979232	0.0193257543648658
chr1:148122266:148122729:clu_104_-	0.149675071566667	0.3803389116719	0.389564155624337	0.00922524395243673
chr1:148122266:148123853:clu_104_-	-0.322381564990181	0.0953956190199595	0.0609431739306002	-0.0344524450893593
chr1:148122801:148123853:clu_104_-	0.172706493423514	0.524265469308141	0.549492670445063	0.0252272011369226
chr1:148533248:148533861:clu_105_-	-0.0775328687323768	0.124620975193331	0.116567261225998	-0.00805371396733257
chr1:148533248:148535453:clu_105_-	0.378259787527639	0.0207689767679767	0.0306442349465903	0.00987525817861351
chr1:148534856:148535453:clu_105_-	-0.302192597364273	0.0434344537858209	0.0324527370773828	-0.0109817167084381
chr1:148539582:148540179:clu_105_-	-0.0062099635842952	0.27033878207814	0.271561966148629	0.00122318407048866
chr1:148544296:148544893:clu_105_-	0.000220891394365899	0.270419218442616	0.273395290770403	0.00297607232778646
chr1:148549004:148549601:clu_105_-	0.00745475075894026	0.270417593732115	0.275378509830997	0.00496091609888211
chr1:148571037:148571682:clu_106_-	-0.0072214718551902	0.335732135548156	0.333333738567019	-0.00239839698113731
chr1:148571037:148574878:clu_106_-	0.0144480932508972	0.328535237243701	0.333333751231974	0.00479851398827241
chr1:148574225:148574878:clu_106_-	-0.00722662139570696	0.335732627208142	0.333332510201007	-0.00240011700713522
chr1:148545533:148559663:clu_107_-	0.0835882327877707	0.18256737636954	0.202028058894122	0.0194606825245827
chr1:148550241:148559663:clu_107_-	-0.0417941163938853	0.40871631181523	0.398985970552939	-0.00973034126229128
chr1:148554949:148559663:clu_107_-	-0.0417941163938853	0.40871631181523	0.398985970552939	-0.00973034126229128
chr1:148575811:148577983:clu_108_-	0.184363726505177	0.279967217912281	0.359877292051859	0.0799100741395781
chr1:148577355:148577983:clu_108_-	-0.184363726505177	0.720032782087719	0.640122707948141	-0.0799100741395781
chr1:148590968:148591432:clu_109_-	0.0520423871142989	0.443701921559573	0.43586627105284	-0.00783565050673263
chr1:148590968:148592552:clu_109_-	-0.163692744935049	0.0633762671776201	0.050175999460184	-0.0132002677174361
chr1:148591504:148592552:clu_109_-	0.11165035782075	0.492921811262807	0.513957729486976	0.0210359182241688
chr1:1787053:1787322:clu_11_-	-0.22293402490118	0.949831277113914	0.92379228438311	-0.0260389927308035
chr1:1787053:1787326:clu_11_-	0.22293402490118	0.0501687228860862	0.0762077156168897	0.0260389927308035
chr1:148586469:148587301:clu_110_-	-0.372485905975092	0.317660855027305	0.238786694022207	-0.0788741610050977
chr1:148586469:148593598:clu_110_-	-0.373008825139279	0.313853403361175	0.235801283012987	-0.0780521203481883
chr1:148587300:148593598:clu_110_-	0.594128704724866	0.0816225126356077	0.161306464932754	0.0796839522971462
chr1:148592766:148593598:clu_110_-	0.151366026389505	0.286863228975912	0.364105558032052	0.0772423290561397
chr1:148598695:148607410:clu_111_-	-0.0641312461065271	0.194681295385633	0.175355541020768	-0.0193257543648658
chr1:148607159:148607410:clu_111_-	0.0641312461065272	0.805318704614367	0.824644458979232	0.0193257543648658
chr1:149059097:149059700:clu_113_-	-0.228412717493882	0.0948953896141661	0.0727065450982456	-0.0221888445159205
chr1:149059097:149064431:clu_113_-	0.259311657997708	0.262132086017355	0.327087979035194	0.0649558930178384
chr1:149063805:149064431:clu_113_-	-0.0308989405038267	0.642972524368479	0.600205475866561	-0.0427670485019179
chr1:149082430:149090753:clu_114_-	0.0612076020837822	0.724638029956962	0.748381905856734	0.0237438758997724
chr1:149090428:149090753:clu_114_-	-0.0612076020837822	0.275361970043038	0.251618094143265	-0.0237438758997724
chr1:149090894:149092755:clu_115_-	0.522978264675726	0.479412780526058	0.723834223412617	0.24442144288656
chr1:149090894:149098438:clu_115_-	-0.522978264675726	0.520587219473942	0.276165776587383	-0.24442144288656
chr1:149098706:149100741:clu_116_-	0.0984425865556318	0.297128004390717	0.328801895810903	0.0316738914201863
chr1:149098706:149101262:clu_116_-	-0.0505754337271445	0.283921712625172	0.270689636539015	-0.0132320760861563
