chr1	1116148	1116598	.		1
chr1	1407123	1407573	.		2
chr1	1433220	1433670	.		3
chr1	1782735	1783185	.		4
chr1	1943004	1943454	.		5
chr1	3900298	3900748	.		6
chr1	3900499	3900949	.		7
chr1	6359494	6359944	.		8
chr1	6359699	6360149	.		9
chr1	8862863	8863313	.		10
chr1	8875165	8875615	.		11
chr1	9233835	9234285	.		12
chr1	9399604	9400054	.		13
chr1	9717522	9717972	.		14
chr1	9943123	9943573	.		15
chr1	10032518	10032968	.		16
chr1	10398550	10399000	.		17
chr1	10472134	10472584	.		18
chr1	10937526	10937976	.		19
chr1	11735832	11736282	.		20
chr1	12658965	12659415	.		21
chr1	19596663	19597113	.		22
chr1	20476385	20476835	.		23
chr1	20476596	20477046	.		24
chr1	20483663	20484113	.		25
chr1	21368383	21368833	.		26
chr1	22451596	22452046	.		27
chr1	23019381	23019831	.		28
chr1	23423468	23423918	.		29
chr1	23562312	23562762	.		30
chr1	23980259	23980709	.		31
chr1	24018764	24019214	.		32
chr1	24413482	24413932	.		33
chr1	24642790	24643240	.		34
chr1	25247181	25247631	.		35
chr1	25247399	25247849	.		36
chr1	25998145	25998595	.		37
chr1	26473126	26473267	.		38
chr1	26620723	26621173	.		39
chr1	26620940	26621390	.		40
chr1	26695062	26695512	.		41
chr1	26991621	26992071	.		42
chr1	27234314	27234764	.		43
chr1	28247006	28247456	.		44
chr1	28247209	28247659	.		45
chr1	28580920	28581370	.		46
chr1	28581233	28581683	.		47
chr1	30782886	30783336	.		48
chr1	30824400	30824850	.		49
chr1	30847474	30847924	.		50
chr1	31065625	31066075	.		51
chr1	31645016	31645466	.		52
chr1	32205371	32205821	.		53
chr1	32222122	32222572	.		54
chr1	32222350	32222800	.		55
chr1	32241586	32242036	.		56
chr1	32651351	32651801	.		57
chr1	33080822	33081272	.		58
chr1	35073316	35073766	.		59
chr1	36450251	36450701	.		60
chr1	36464199	36464649	.		61
chr1	37859753	37860203	.		62
chr1	37989813	37990263	.		63
chr1	39576198	39576648	.		64
