ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
7	"ENSG00000291033.1"	"TXLNGY"	chrY	+	19567349	19567570	19567349	19567482	19587209	19587507	7	90,78	105,62	182,177	134,115	237	149	0.0592004846887	0.2973717484555748	0.35,0.442	0.461,0.492	-0.081
10	"ENSG00000183878.16"	"UTY"	chrY	-	13355002	13355398	13355374	13355398	13335562	13336335	10	40,36	2,0	27,42	0,0	298	149	0.481063723894	1.0	0.909,1.0	1.0,1.0	-0.045
12	"ENSG00000107537.14"	"PHYH"	chr10	-	13291824	13291912	13291830	13291912	13288359	13288541	12	2,3	28,45	4,1	37,31	155	149	0.922565834522	1.0	0.064,0.06	0.094,0.03	0.0
13	"ENSG00000133019.12"	"CHRM3"	chr1	+	239545640	239545753	239545640	239545749	239632223	239632286	13	2,5	30,26	3,10	73,100	153	149	0.555168573517	1.0	0.061,0.158	0.038,0.089	0.046
14	"ENSG00000133019.12"	"CHRM3"	chr1	+	239545640	239545753	239545640	239545749	239678185	239678288	14	1,4	13,13	9,5	63,47	153	149	0.858335574512	1.0	0.07,0.231	0.122,0.094	0.043
15	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91311645	91312413	91312294	91312413	91310640	91311032	15	21,3	9,4	39,58	16,13	298	149	0.186300089002	0.6344720751949975	0.538,0.273	0.549,0.69	-0.214
16	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314402	91314331	91314402	91313077	91313229	16	118,69	0,0	302,240	0,2	298	149	1	1.0	1.0,1.0	1.0,0.984	0.008
17	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91313961	91314404	91314079	91314404	91313637	91313777	17	16,3	34,25	40,29	156,198	267	149	0.312448012059	0.8808302892965751	0.208,0.063	0.125,0.076	0.035
18	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314247	91314164	91314247	91313637	91313777	18	79,75	13,8	332,396	37,16	234	149	0.0648638642182	0.3174966757186875	0.795,0.857	0.851,0.94	-0.069
19	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314386	91314331	91314386	91313637	91313777	19	152,94	0,0	457,434	0,2	298	149	1	1.0	1.0,1.0	1.0,0.991	0.004
20	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314164	91314402	91314331	91314402	91313637	91313777	20	131,77	0,0	338,252	0,2	298	149	1	1.0	1.0,1.0	1.0,0.984	0.008
21	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314402	91314164	91314402	91313637	91313781	21	49,51	1,1	186,212	9,5	234	149	0.0852715019089	0.38339809174360484	0.969,0.97	0.929,0.964	0.023
22	"ENSG00000048740.19"	"CELF2"	chr10	+	11314138	11314270	11314138	11314258	11321188	11321386	22	1,1	0,3	2,1	0,0	161	149	0.0387737700321	0.22271587191176212	1.0,0.236	1.0,1.0	-0.382
23	"ENSG00000048740.19"	"CELF2"	chr10	+	11314138	11314270	11314138	11314258	11321206	11321386	23	22,17	13,11	4,10	18,18	161	149	0.00061051048456	0.01231354370428162	0.61,0.589	0.171,0.34	0.344
24	"ENSG00000135048.14"	"CEMIP2"	chr9	-	71730704	71730914	71730738	71730914	71730047	71730253	24	695,425	1,0	1534,2450	0,15	183	149	1	1.0	0.998,1.0	1.0,0.993	0.003
26	"ENSG00000165632.9"	"TAF3"	chr10	+	7824317	7824564	7824317	7824560	7963919	7965742	26	0,0	34,31	0,1	51,48	153	149	1	1.0	0.0,0.0	0.0,0.02	-0.01
27	"ENSG00000067057.19"	"PFKP"	chr10	+	3109354	3109609	3109354	3109480	3112221	3112286	27	2,1	678,548	6,3	1942,2131	278	149	1	1.0	0.002,0.001	0.002,0.001	0.0
29	"ENSG00000181090.21"	"EHMT1"	chr9	+	137728348	137728593	137728348	137728529	137743370	137743528	29	3,0	55,43	2,1	57,53	213	149	0.923149930457	1.0	0.037,0.0	0.024,0.013	0.0
30	"ENSG00000181090.21"	"EHMT1"	chr9	+	137776617	137776844	137776617	137776840	137777881	137778055	30	136,115	0,0	133,139	0,2	153	149	1	1.0	1.0,1.0	1.0,0.985	0.008
32	"ENSG00000108679.13"	"LGALS3BP"	chr17	-	78976994	78977214	78977139	78977214	78975964	78976156	32	266,205	4592,4497	291,320	5705,6154	294	149	1	1.0	0.029,0.023	0.025,0.026	0.001
34	"ENSG00000148362.11"	"PAXX"	chr9	+	136992639	136992974	136992639	136992700	136993052	136993243	34	347,218	1,0	233,304	3,0	298	149	1	1.0	0.994,1.0	0.975,1.0	0.009
36	"ENSG00000159069.14"	"FBXW5"	chr9	-	136941754	136942466	136942045	136942466	136941536	136941684	36	70,82	426,383	65,52	482,455	298	149	0.0127814984028	0.1052533178488434	0.076,0.097	0.063,0.054	0.028
37	"ENSG00000159069.14"	"FBXW5"	chr9	-	136941754	136942466	136942099	136942466	136941536	136941684	37	465,367	40,27	346,367	41,44	298	149	0.0445216194006	0.2445685922385405	0.853,0.872	0.808,0.807	0.055
38	"ENSG00000159069.14"	"FBXW5"	chr9	-	136942045	136942466	136942099	136942466	136941536	136941684	38	830,692	40,27	776,786	41,44	203	149	0.264490063238	0.7999780696358264	0.938,0.95	0.933,0.929	0.013
39	"ENSG00000159069.14"	"FBXW5"	chr9	-	136942045	136942695	136942546	136942695	136941536	136941684	39	452,421	2,0	497,478	0,0	298	149	1	1.0	0.991,1.0	1.0,1.0	-0.004
40	"ENSG00000159069.14"	"FBXW5"	chr9	-	136942546	136942943	136942768	136942943	136941536	136941684	40	42,35	2,0	46,36	0,0	298	149	0.451688252137	1.0	0.913,1.0	1.0,1.0	-0.043
41	"ENSG00000196642.19"	"RABL6"	chr9	+	136837861	136838015	136837861	136837980	136838908	136839121	41	659,598	0,0	355,321	2,0	184	149	1	1.0	1.0,1.0	0.993,1.0	0.004
44	"ENSG00000165689.17"	"ENTR1"	chr9	-	136405090	136405202	136405117	136405202	136404630	136404693	44	157,100	7,4	144,176	7,4	176	149	0.654603360655	1.0	0.95,0.955	0.946,0.974	-0.008
45	"ENSG00000165684.6"	"SNAPC4"	chr9	-	136387484	136387579	136387512	136387579	136384719	136384814	45	88,59	18,4	63,115	2,28	177	149	0.956161828639	1.0	0.805,0.925	0.964,0.776	-0.005
48	"ENSG00000122133.17"	"PAEP"	chr9	+	135565784	135565830	135565784	135565801	135566552	135566955	48	1,0	0,2	66,165	125,353	178	149	0.0459594575588	0.2509856378839749	1.0,0.0	0.307,0.281	0.206
49	"ENSG00000134644.16"	"PUM1"	chr1	-	30941921	30942123	30941997	30942123	30941150	30941272	49	12,14	240,192	8,13	275,314	225	149	0.0973622823578	0.41731267734280725	0.032,0.046	0.019,0.027	0.016
50	"ENSG00000134644.16"	"PUM1"	chr1	-	30950126	30950261	30950132	30950261	30945345	30945483	50	172,126	154,121	166,229	108,175	155	149	0.0846469940326	0.3813797829338789	0.518,0.5	0.596,0.557	-0.068
