ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
6	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91310626	91312495	91310626	91312413	91313077	91313229	6	0,4	0,1	10,27	4,10	231	149	1	1.0	NA,0.721	0.617,0.635	0.095
7	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91312294	91312481	91312294	91312413	91313077	91313229	7	0,2	0,1	8,17	4,10	217	149	1	1.0	NA,0.579	0.579,0.539	0.02
9	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91310626	91313229	91310626	91311032	91313637	91313777	9	1,4	0,0	14,92	0,2	298	149	0.31837815167	0.878937521158415	1.0,1.0	1.0,0.958	0.021
10	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91313637	91313781	91313637	91313777	91314079	91314252	10	0,0	2,3	0,7	15,56	153	149	0.00498721877516	0.05059426482144572	0.0,0.0	0.0,0.109	-0.054
12	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314247	91314079	91314244	91314331	91314402	12	1,1	0,0	8,25	2,26	152	149	6.88802769371e-05	0.001988712995734545	1.0,1.0	0.797,0.485	0.359
13	"ENSG00000048740.19"	"CELF2"	chr10	+	11321188	11321386	11321206	11321386	11314138	11314258	13	1,0	28,16	0,0	3,4	167	149	1	1.0	0.031,0.0	0.0,0.0	0.015
14	"ENSG00000048740.19"	"CELF2"	chr10	+	11321188	11321386	11321206	11321386	11314138	11314270	14	1,4	16,13	0,0	7,5	167	149	0.00666503829548	0.06215454405668967	0.053,0.215	0.0,0.0	0.134
15	"ENSG00000013441.17"	"CLK1"	chr2	-	200856890	200857884	200856890	200856985	200857972	200858089	15	145,177	3,10	418,378	9,6	298	149	0.0878884363818	0.3856199553775856	0.96,0.898	0.959,0.969	-0.035
16	"ENSG00000107485.18"	"GATA3"	chr10	+	8063992	8064138	8063995	8064138	8058304	8058841	16	3,1	0,1	33,35	1,5	152	149	0.0971405127572	0.4123274825770725	1.0,0.495	0.97,0.873	-0.174
17	"ENSG00000165632.9"	"TAF3"	chr10	+	7963919	7965742	7963922	7965742	7824317	7824560	17	34,18	0,2	33,73	4,2	152	149	0.155964719886	0.563480671639313	1.0,0.898	0.89,0.973	0.018
